kare,sn,ana_sembol,kucuk_burc_1,kucuk_burc_2,ham_ana_sembol,ham_kucuk_burc_1,ham_kucuk_burc_2
83,2.767,0.191,0.158,0.2976,0.3116
84,2.8,0.1776,0.1518,0.2976,0.3093
85,2.833,0.1715,0.149,0.2993,0.3099
86,2.867,0.1683,0.1463,0.3038,0.3099
87,2.9,0.1687,0.1429,0.3033,0.3158
88,2.933,0.1591,0.1391,0.2987,0.3139
89,2.967,0.156,0.1372,0.2985,0.3135
90,3.0,0.1563,0.1338,0.2986,0.3134
91,3.033,0.1542,0.133,0.2983,0.3135
92,3.067,0.151,0.132,0.2984,0.3135
93,3.1,0.1519,0.1315,0.2986,0.3135
94,3.133,0.1521,0.1315,0.2987,0.3135
95,3.167,0.1499,0.1313,0.2968,0.3135
96,3.2,0.1501,0.1305,0.2969,0.3136
97,3.233,0.1501,0.1306,0.2969,0.3136
98,3.267,0.1501,0.1307,0.2968,0.3137
99,3.3,0.1507,0.1307,0.297,0.3137
100,3.333,0.151,0.1307,0.2972,0.3137
101,3.367,0.1609,0.1358,0.3169,0.3236
102,3.4,0.1665,0.1415,0.3296,0.3368
103,3.433,0.1775,0.1396,0.3444,0.355
104,3.467,0.1767,0.1424,0.3559,0.3784
105,3.5,0.1798,0.1554,0.3853,0.4205
106,3.533,0.1811,0.1645,0.4144,0.4398
107,3.567,0.1878,0.1716,0.4838,0.4699
108,3.6,0.2013,0.195,0.5563,0.4815
109,3.633,0.2461,0.2261,0.6266,0.5454
110,3.667,0.3112,0.2894,0.6983,0.6063
111,3.7,0.4206,0.3645,0.738,0.6679
112,3.733,0.5244,0.4738,0.787,0.7329
113,3.767,0.5883,0.5095,0.822,0.7392
114,3.8,0.6532,0.5287,0.8475,0.7783
115,3.833,0.803,0.6581,0.9086,0.8363
116,3.867,0.9211,0.7853,0.9629,0.891
117,3.9,0.9473,0.8438,0.9894,0.9247
118,3.933,0.9473,0.8438,0.9894,0.9247
119,3.967,1.0342,0.9795,1.0424,0.9645
120,4.0,1.0342,0.9795,1.0424,0.9657
121,4.033,1.0344,0.9821,1.0425,0.9679
122,4.067,1.0344,0.9821,1.0425,0.9679
123,4.1,1.0344,0.9821,1.0425,0.9679
124,4.133,1.0344,0.9821,1.0425,0.9679
125,4.167,1.0268,0.9823,1.0425,0.9681
126,4.2,1.0268,0.9823,1.0425,0.9681
127,4.233,1.0269,0.9823,1.0425,0.9681
128,4.267,1.0269,0.9823,1.0425,0.9681
129,4.3,1.0269,0.9823,1.0425,0.9681
130,4.333,1.0269,0.9823,1.0425,0.9681
131,4.367,1.0269,0.9823,1.0425,0.9681
132,4.4,1.0269,0.9823,1.0425,0.9681
133,4.433,1.0269,0.9823,1.0425,0.9681
134,4.467,1.0269,0.9823,1.0425,0.9681
135,4.5,1.0269,0.9823,1.0425,0.9681
136,4.533,1.0269,0.9823,1.0425,0.9681
137,4.567,1.0269,0.9823,1.0425,0.9681
